Transaction_ID,User_ID,Date,Transaction_Amount,Transaction_Type,Device_Type,Location,Merchant_Category,Account_Balance,Card_Type,Card_Age,Daily_Transaction_Count,Previous_Fraudulent_Activity,Fraud_Label
TXN000049,USR9644,2023-01-01,782.56,POS,Desktop,City_6,Entertainment,14740.1,Credit,132,2,0,0
TXN000050,USR9028,2023-01-01,278.95,ATM,Mobile,City_12,Electronics,5461.61,Credit,45,3,0,0
TXN000051,USR4612,2023-01-01,307.88,Online,Mobile,City_17,Restaurants,700.83,Credit,173,2,0,0
TXN000052,USR3594,2023-01-01,2898.42,Wire Transfer,Desktop,City_20,Clothing,22206.88,Credit,41,2,0,1
TXN000053,USR7049,2023-01-01,536.54,ATM,Mobile,City_5,Clothing,14375.21,Debit,70,2,0,0
TXN000054,USR8700,2023-01-01,76.42,POS,Mobile,City_11,Entertainment,10404.97,Credit,16,4,0,0
TXN000055,USR3410,2023-01-01,35.53,POS,Desktop,City_3,Gas,5893.19,Credit,55,3,0,0
TXN000056,USR1319,2023-01-01,47.5,POS,Tablet,City_9,Entertainment,30843.54,Prepaid,117,3,0,0
TXN000057,USR2153,2023-01-01,179.38,POS,Mobile,City_14,Healthcare,3925.29,Credit,38,4,0,0
TXN000058,USR7553,2023-01-01,866.48,ATM,Mobile,City_3,Restaurants,2033.28,Prepaid,4,3,0,0
TXN000059,USR5495,2023-01-01,457.64,Mobile Payment,Desktop,City_13,Electronics,1850.15,Prepaid,14,5,0,0
TXN000060,USR1143,2023-01-01,87.05,POS,Tablet,City_10,Groceries,12743.87,Credit,113,1,0,0
TXN000061,USR8239,2023-01-01,418.13,ATM,Desktop,City_18,Clothing,34815.15,Credit,12,3,0,0
TXN000062,USR3613,2023-01-01,393.45,POS,ATM,City_7,Gas,66226.13,Credit,83,3,0,0
TXN000063,USR2067,2023-01-01,212.29,ATM,Mobile,City_1,Healthcare,6196.23,Debit,174,2,0,0
TXN000064,USR7895,2023-01-01,210.26,ATM,Desktop,City_10,Restaurants,2862.54,Debit,76,3,0,0
TXN000065,USR3089,2023-01-01,50.0,Wire Transfer,ATM,City_11,Entertainment,11925.53,Credit,28,2,0,1
TXN000066,USR8618,2023-01-01,227.75,Online,Desktop,City_7,Healthcare,6858.03,Credit,17,2,1,1
TXN000067,USR7998,2023-01-01,1871.43,Wire Transfer,Mobile,City_8,Gas,148.66,Credit,35,1,0,0
TXN000068,USR3779,2023-01-01,552.81,Online,ATM,City_8,Clothing,2816.2,Debit,84,2,0,0
TXN000069,USR9414,2023-01-01,136.64,Online,Tablet,City_3,Travel,13070.54,Prepaid,18,6,0,0
TXN000070,USR9656,2023-01-01,779.51,POS,ATM,City_13,Entertainment,10247.86,Prepaid,58,1,0,0
TXN000071,USR3981,2023-01-01,24.62,Online,Desktop,City_19,Entertainment,22971.77,Credit,64,1,1,0
TXN000072,USR7887,2023-01-01,20.32,Mobile Payment,Mobile,City_17,Healthcare,1477.37,Prepaid,31,4,0,0
TXN000073,USR4753,2023-01-01,310.49,ATM,Mobile,City_4,Restaurants,16246.41,Debit,96,7,0,0
TXN000074,USR1052,2023-01-01,2333.61,ATM,Mobile,City_14,Entertainment,58377.54,Credit,38,3,1,1
TXN000075,USR9021,2023-01-01,84.4,Online,ATM,City_6,Entertainment,3673.45,Credit,2,6,0,0
TXN000076,USR9938,2023-01-01,111.96,POS,ATM,City_7,Restaurants,100.0,Credit,25,2,0,0
TXN000077,USR6291,2023-01-01,249.13,POS,Mobile,City_6,Healthcare,1468.82,Credit,30,6,0,0
TXN000078,USR2018,2023-01-01,208.48,Online,Desktop,City_16,Groceries,47845.53,Credit,37,1,0,0
TXN000079,USR9450,2023-01-01,1361.54,Online,Mobile,City_20,Gas,24490.16,Credit,24,4,0,0
TXN000080,USR7958,2023-01-01,3641.15,ATM,ATM,City_3,Restaurants,30645.4,Prepaid,20,5,0,1
TXN000081,USR4812,2023-01-01,414.51,POS,Mobile,City_5,Entertainment,8887.33,Credit,19,1,0,0
TXN000082,USR7922,2023-01-01,161.43,ATM,Desktop,City_14,Restaurants,8212.81,Debit,2,6,0,0
TXN000083,USR3813,2023-01-01,588.28,POS,Tablet,City_11,Travel,54383.95,Debit,25,1,0,0
TXN000084,USR4448,2023-01-01,759.62,POS,Mobile,City_3,Healthcare,9753.36,Prepaid,41,4,1,1
TXN000085,USR7052,2023-01-01,458.3,Mobile Payment,Mobile,City_5,Electronics,47300.68,Credit,31,5,0,1
TXN000086,USR9525,2023-01-01,357.85,Wire Transfer,Mobile,City_3,Clothing,28545.3,Debit,47,2,0,0
TXN000087,USR4006,2023-01-01,1255.04,POS,Mobile,City_19,Entertainment,8325.71,Debit,63,2,0,0
TXN000088,USR8159,2023-01-01,1446.03,Online,Desktop,City_11,Clothing,100.0,Debit,1,4,0,1
TXN000089,USR5575,2023-01-01,48.88,POS,Tablet,City_16,Electronics,48149.84,Debit,39,3,0,0
TXN000090,USR8705,2023-01-01,300.01,POS,Mobile,City_3,Clothing,5499.93,Debit,68,5,0,0
TXN000091,USR6770,2023-01-01,49.11,ATM,Desktop,City_9,Travel,21119.13,Credit,132,2,0,0
TXN000092,USR1931,2023-01-01,144.74,Mobile Payment,Mobile,City_20,Entertainment,44990.45,Credit,188,1,0,0
TXN000093,USR9765,2023-01-01,219.13,POS,Mobile,City_4,Healthcare,17261.62,Debit,40,1,0,1
TXN000094,USR8217,2023-01-01,119.21,Wire Transfer,Mobile,City_12,Groceries,16087.31,Credit,74,1,0,0
TXN000095,USR7066,2023-01-01,219.92,POS,Mobile,City_15,Gas,5245.95,Debit,39,2,0,0
TXN000096,USR1146,2023-01-01,142.02,ATM,ATM,City_3,Clothing,15915.65,Credit,28,1,0,0
TXN000097,USR8728,2023-01-01,275.49,Online,Mobile,City_14,Electronics,7626.3,Credit,22,2,0,0
TXN000098,USR4515,2023-01-01,540.59,POS,Desktop,City_11,Groceries,5306.57,Credit,66,2,0,0
TXN000099,USR8665,2023-01-01,22.11,Online,Mobile,City_2,Clothing,19485.62,Credit,36,3,0,0
TXN000100,USR6432,2023-01-01,150.55,POS,ATM,City_15,Clothing,8427.15,Debit,54,6,0,0
TXN000101,USR2854,2023-01-01,382.44,POS,ATM,City_19,Groceries,8846.43,Credit,8,1,0,0
TXN000102,USR4109,2023-01-01,81.19,ATM,Desktop,City_9,Groceries,263.11,Credit,9,5,0,0
TXN000103,USR9806,2023-01-01,276.12,Online,Tablet,City_7,Travel,5135.61,Credit,54,2,0,0
TXN000104,USR7724,2023-01-01,372.83,Online,Mobile,City_17,Groceries,14656.15,Credit,60,3,0,1
TXN000105,USR8589,2023-01-01,490.11,POS,Mobile,City_12,Groceries,13500.15,Debit,120,2,0,0
TXN000106,USR7497,2023-01-01,610.25,ATM,Desktop,City_4,Restaurants,14268.34,Debit,1,2,1,0
TXN000107,USR2682,2023-01-01,1522.55,Wire Transfer,Desktop,City_4,Groceries,30319.48,Credit,81,4,0,1
TXN000108,USR3400,2023-01-01,7398.43,POS,ATM,City_11,Gas,13027.39,Debit,3,6,0,1
TXN000109,USR6637,2023-01-01,319.59,Mobile Payment,Mobile,City_7,Electronics,10561.39,Credit,68,3,0,0
TXN000110,USR1316,2023-01-01,742.42,POS,ATM,City_18,Entertainment,1924.85,Credit,28,3,0,0
TXN000111,USR2881,2023-01-01,20.77,POS,Mobile,City_6,Entertainment,6666.59,Prepaid,26,5,0,0
TXN000112,USR7515,2023-01-01,591.78,POS,Mobile,City_14,Entertainment,23764.85,Credit,62,1,0,0
TXN000113,USR2370,2023-01-01,59.29,Online,Desktop,City_18,Groceries,47902.64,Prepaid,90,4,0,0
TXN000114,USR8638,2023-01-01,952.0,Wire Transfer,Mobile,City_12,Entertainment,3410.42,Debit,9,4,0,1
TXN000115,USR9135,2023-01-01,1104.12,POS,Mobile,City_6,Restaurants,35184.11,Debit,210,5,0,0
TXN000116,USR4326,2023-01-01,278.51,POS,Tablet,City_2,Healthcare,78481.06,Prepaid,13,1,0,1
TXN000117,USR5957,2023-01-01,86.34,POS,Mobile,City_17,Clothing,4288.28,Credit,79,4,1,0
TXN000118,USR4899,2023-01-01,1127.36,POS,Mobile,City_12,Electronics,17459.34,Prepaid,161,4,1,1
TXN000119,USR5479,2023-01-01,721.64,Online,Desktop,City_6,Gas,8982.69,Debit,11,3,0,0
TXN000120,USR4361,2023-01-01,184.07,Mobile Payment,Desktop,City_20,Entertainment,14116.88,Debit,30,4,0,0
TXN000121,USR4292,2023-01-01,6461.36,Mobile Payment,Desktop,City_14,Clothing,7169.32,Prepaid,3,6,0,1
TXN000122,USR1007,2023-01-01,10.0,Online,ATM,City_14,Restaurants,6466.79,Debit,130,4,0,0
TXN000123,USR3447,2023-01-01,200.69,POS,Mobile,City_16,Restaurants,21980.53,Debit,112,4,0,0
TXN000124,USR4190,2023-01-01,10.0,POS,Mobile,City_2,Healthcare,14327.78,Credit,42,4,0,0
TXN000125,USR8902,2023-01-01,1901.68,Mobile Payment,Mobile,City_12,Entertainment,6393.79,Prepaid,19,2,0,1
TXN000126,USR3317,2023-01-01,96.49,Mobile Payment,Desktop,City_4,Electronics,23591.8,Debit,33,1,0,0
TXN000127,USR6246,2023-01-01,447.06,Online,Desktop,City_16,Clothing,5465.4,Credit,37,3,0,0
TXN000128,USR5810,2023-01-01,394.41,POS,Desktop,City_20,Clothing,8113.38,Credit,23,3,1,0
TXN000129,USR2639,2023-01-01,884.81,Wire Transfer,Mobile,City_9,Clothing,26885.6,Credit,61,1,0,0
TXN000130,USR5944,2023-01-01,91.94,POS,ATM,City_20,Entertainment,6853.47,Credit,52,3,0,0
TXN000131,USR7167,2023-01-01,1102.04,ATM,Mobile,City_18,Healthcare,7280.47,Debit,6,4,0,0
TXN000132,USR5320,2023-01-01,586.69,Online,Mobile,City_8,Restaurants,4682.69,Prepaid,35,1,0,1
TXN000133,USR1626,2023-01-01,419.41,ATM,ATM,City_20,Groceries,3172.88,Credit,177,4,0,0
TXN000134,USR4369,2023-01-01,382.81,Mobile Payment,Mobile,City_18,Healthcare,12502.76,Debit,12,4,0,0
TXN000135,USR2401,2023-01-01,447.18,Mobile Payment,Mobile,City_19,Healthcare,7797.49,Credit,16,2,0,1
TXN000136,USR9460,2023-01-01,315.94,Online,Mobile,City_5,Travel,1849.65,Credit,2,3,0,0
TXN000137,USR4179,2023-01-01,42.99,POS,ATM,City_5,Travel,22402.17,Debit,87,2,0,0
TXN000138,USR7757,2023-01-01,1092.27,Online,ATM,City_11,Electronics,100.0,Debit,146,1,0,0
TXN000139,USR3035,2023-01-01,77.86,POS,Mobile,City_5,Gas,15000.93,Credit,114,6,1,0
TXN000140,USR7184,2023-01-01,451.87,POS,Mobile,City_6,Restaurants,5121.77,Credit,10,2,0,0
TXN000141,USR2289,2023-01-01,1992.56,Online,Mobile,City_10,Gas,40759.77,Credit,12,3,0,0
TXN000142,USR3940,2023-01-01,195.36,POS,Mobile,City_2,Clothing,20259.5,Prepaid,5,3,0,0
TXN000143,USR6743,2023-01-01,75.57,Mobile Payment,Desktop,City_6,Electronics,14630.31,Debit,63,3,0,0
TXN000144,USR5799,2023-01-01,292.38,POS,Mobile,City_6,Gas,17763.48,Credit,3,5,0,0
TXN000145,USR1201,2023-01-02,3495.56,POS,ATM,City_2,Clothing,215.98,Debit,17,4,1,1
TXN000146,USR6805,2023-01-02,855.55,Wire Transfer,Desktop,City_7,Clothing,874.22,Debit,35,3,1,0
TXN000147,USR4596,2023-01-02,155.27,ATM,Desktop,City_2,Travel,4411.07,Debit,34,1,0,0
TXN000148,USR3815,2023-01-02,148.6,Online,Mobile,City_19,Entertainment,7559.72,Debit,34,1,0,0
TXN000149,USR2237,2023-01-02,215.85,ATM,Mobile,City_11,Travel,15279.4,Debit,52,4,0,0
TXN000150,USR1685,2023-01-02,474.6,Wire Transfer,Desktop,City_16,Entertainment,10670.97,Debit,33,3,0,0
TXN000151,USR1426,2023-01-02,7899.14,Online,Mobile,City_7,Groceries,59845.9,Credit,13,1,0,1
TXN000152,USR9832,2023-01-02,10000.0,Wire Transfer,Mobile,City_7,Gas,8462.63,Credit,87,5,0,1
TXN000153,USR9474,2023-01-02,529.7,POS,Desktop,City_3,Gas,10570.85,Debit,64,2,0,0
TXN000154,USR4136,2023-01-02,91.46,POS,Desktop,City_2,Groceries,11279.99,Prepaid,41,8,0,0
TXN000155,USR4760,2023-01-02,47.31,ATM,Desktop,City_13,Restaurants,18166.44,Debit,147,4,0,0
TXN000156,USR1414,2023-01-02,82.91,Online,Tablet,City_12,Healthcare,10867.74,Credit,13,2,0,0
TXN000157,USR6265,2023-01-02,656.45,ATM,ATM,City_3,Groceries,57137.07,Debit,10,1,0,0
TXN000158,USR6012,2023-01-02,20.32,Mobile Payment,ATM,City_1,Restaurants,682.43,Credit,22,4,0,0
TXN000159,USR3035,2023-01-02,150.11,ATM,Mobile,City_3,Groceries,5512.54,Debit,57,4,0,0
TXN000160,USR3296,2023-01-02,1030.85,POS,ATM,City_10,Clothing,35722.8,Prepaid,4,2,0,1
TXN000161,USR8879,2023-01-02,1572.8,POS,ATM,City_11,Clothing,9135.1,Credit,19,3,0,1
TXN000162,USR7499,2023-01-02,521.51,Wire Transfer,ATM,City_3,Entertainment,11786.07,Debit,34,2,0,1
TXN000163,USR5141,2023-01-02,874.58,POS,Mobile,City_16,Travel,34571.41,Credit,247,4,1,0
TXN000164,USR1586,2023-01-02,838.98,Online,Mobile,City_14,Travel,9002.42,Debit,6,2,1,0
TXN000165,USR8577,2023-01-02,2561.18,POS,Mobile,City_10,Groceries,26928.14,Prepaid,176,1,0,1
TXN000166,USR5485,2023-01-02,3130.7,Wire Transfer,Mobile,City_5,Restaurants,16685.94,Credit,137,3,0,1
TXN000167,USR9314,2023-01-02,355.07,POS,Mobile,City_12,Clothing,8456.49,Prepaid,119,1,0,0
TXN000168,USR1843,2023-01-02,131.7,Mobile Payment,Mobile,City_9,Travel,178.81,Credit,27,5,0,0
TXN000169,USR7082,2023-01-02,831.01,Wire Transfer,ATM,City_6,Healthcare,7795.13,Prepaid,160,4,1,1
TXN000170,USR2369,2023-01-02,802.53,POS,Mobile,City_1,Electronics,17722.11,Credit,30,2,0,1
TXN000171,USR1470,2023-01-02,356.36,Wire Transfer,ATM,City_5,Travel,26657.58,Credit,15,3,0,0
TXN000172,USR6283,2023-01-02,1122.51,Online,ATM,City_12,Electronics,4481.97,Credit,229,1,1,0
TXN000173,USR7273,2023-01-02,2694.0,Mobile Payment,ATM,City_14,Electronics,7710.83,Prepaid,2,4,0,1
TXN000174,USR3279,2023-01-02,5688.89,Wire Transfer,Desktop,City_7,Groceries,8970.7,Prepaid,11,2,0,1
TXN000175,USR4944,2023-01-02,453.86,Mobile Payment,ATM,City_18,Clothing,3103.53,Credit,16,1,0,0
TXN000176,USR4879,2023-01-02,2214.98,Online,ATM,City_14,Clothing,17606.75,Debit,11,3,0,1
TXN000177,USR1141,2023-01-02,300.21,Online,ATM,City_9,Gas,42635.4,Prepaid,186,2,0,0
TXN000178,USR7343,2023-01-02,2493.26,Online,ATM,City_1,Travel,26485.48,Prepaid,17,2,0,1
TXN000179,USR4201,2023-01-02,132.28,POS,Mobile,City_19,Electronics,5123.39,Debit,6,6,0,0
TXN000180,USR1820,2023-01-02,23.39,POS,Desktop,City_4,Healthcare,4498.28,Debit,87,1,0,0
TXN000181,USR2143,2023-01-02,220.87,POS,Mobile,City_20,Entertainment,47743.34,Debit,99,5,0,0
TXN000182,USR1320,2023-01-02,431.79,Online,Mobile,City_13,Entertainment,8719.33,Debit,91,1,1,0
TXN000183,USR6726,2023-01-02,3283.26,Online,Desktop,City_9,Electronics,9923.75,Prepaid,32,5,1,1
TXN000184,USR6871,2023-01-02,14.29,Wire Transfer,ATM,City_8,Healthcare,3653.01,Debit,36,3,0,0
TXN000185,USR6902,2023-01-02,4103.85,POS,Mobile,City_19,Restaurants,5348.81,Credit,27,2,0,1
TXN000186,USR9620,2023-01-02,2043.79,Wire Transfer,ATM,City_9,Entertainment,365.41,Debit,7,1,0,1
TXN000187,USR7553,2023-01-02,62.13,Online,Desktop,City_12,Healthcare,10899.58,Credit,46,1,0,1
TXN000188,USR4215,2023-01-02,109.47,POS,Tablet,City_16,Electronics,11934.4,Prepaid,34,4,0,0
TXN000189,USR4263,2023-01-02,529.84,Mobile Payment,Mobile,City_10,Gas,7664.7,Credit,56,3,0,0
TXN000190,USR4018,2023-01-02,314.5,POS,Tablet,City_5,Entertainment,7820.75,Credit,115,5,0,0
TXN000191,USR9398,2023-01-02,100.33,Online,Desktop,City_9,Gas,42663.38,Credit,203,3,0,0
TXN000192,USR5740,2023-01-02,218.92,ATM,ATM,City_17,Electronics,10915.14,Credit,106,2,0,0
TXN000193,USR3457,2023-01-02,116.88,POS,Mobile,City_17,Travel,2282.02,Credit,1,3,0,0
TXN000194,USR9420,2023-01-02,327.9,ATM,Mobile,City_7,Entertainment,7869.98,Debit,25,3,0,0
TXN000195,USR6793,2023-01-02,483.76,Online,Tablet,City_3,Healthcare,36930.73,Debit,73,2,1,0
TXN000196,USR9168,2023-01-02,275.66,ATM,Mobile,City_18,Gas,7955.26,Debit,10,1,0,0
TXN000197,USR9863,2023-01-02,82.8,Online,Mobile,City_20,Electronics,7936.95,Credit,6,5,0,0
TXN000198,USR1860,2023-01-02,545.59,ATM,ATM,City_8,Restaurants,7579.24,Debit,19,1,0,0
TXN000199,USR2408,2023-01-02,410.29,POS,Desktop,City_20,Clothing,1793.93,Credit,45,5,0,0
TXN000200,USR3711,2023-01-02,109.25,Online,Mobile,City_12,Gas,17828.04,Credit,48,1,0,0
TXN000201,USR1543,2023-01-02,2548.37,POS,Mobile,City_2,Healthcare,36697.27,Prepaid,35,3,0,1
TXN000202,USR9075,2023-01-02,1161.03,Online,Mobile,City_16,Entertainment,4202.48,Debit,49,5,1,0
TXN000203,USR4004,2023-01-02,242.67,ATM,Desktop,City_10,Restaurants,12755.41,Prepaid,121,5,0,0
TXN000204,USR6447,2023-01-02,466.46,Mobile Payment,Desktop,City_17,Travel,6615.62,Credit,9,1,1,0
TXN000205,USR8488,2023-01-02,30.46,Wire Transfer,Mobile,City_18,Travel,4914.85,Credit,19,1,0,0
TXN000206,USR3449,2023-01-02,3353.82,POS,Mobile,City_15,Gas,3331.22,Credit,20,4,0,1
TXN000207,USR1830,2023-01-02,2288.04,Online,Mobile,City_6,Healthcare,3554.41,Credit,190,1,0,1
TXN000208,USR1418,2023-01-02,196.91,ATM,Desktop,City_18,Gas,6395.25,Debit,270,2,0,0
TXN000209,USR6477,2023-01-02,1117.45,ATM,Tablet,City_11,Healthcare,3328.52,Credit,62,3,0,0
TXN000210,USR5048,2023-01-02,146.37,Online,Mobile,City_13,Travel,6552.9,Prepaid,17,3,0,0
TXN000211,USR1928,2023-01-02,202.2,Wire Transfer,Desktop,City_20,Restaurants,39963.58,Credit,72,2,0,0
TXN000212,USR9689,2023-01-02,538.1,POS,Tablet,City_6,Groceries,12051.78,Prepaid,63,3,0,0
TXN000213,USR5493,2023-01-02,284.4,POS,Mobile,City_1,Travel,1868.3,Prepaid,37,2,0,1
TXN000214,USR4438,2023-01-02,2724.84,Wire Transfer,ATM,City_19,Travel,4252.1,Prepaid,89,3,0,1
TXN000215,USR1376,2023-01-02,346.56,POS,Desktop,City_17,Healthcare,1808.06,Credit,4,2,0,1
TXN000216,USR1866,2023-01-02,10.0,POS,Mobile,City_15,Restaurants,18047.47,Debit,5,2,1,0
TXN000217,USR2376,2023-01-02,393.35,Online,Desktop,City_11,Groceries,23969.92,Credit,42,3,0,0
TXN000218,USR8529,2023-01-02,3640.09,POS,Tablet,City_10,Entertainment,19374.62,Credit,3,4,0,1
TXN000219,USR9938,2023-01-02,7138.29,Wire Transfer,Desktop,City_11,Clothing,2706.2,Debit,7,8,0,1
TXN000220,USR4455,2023-01-02,449.62,Online,Desktop,City_20,Travel,6905.71,Prepaid,31,3,0,0
TXN000221,USR2381,2023-01-02,644.61,POS,ATM,City_11,Healthcare,10817.39,Credit,221,3,1,0
TXN000222,USR8993,2023-01-02,107.43,Mobile Payment,Mobile,City_14,Healthcare,39015.6,Debit,8,4,0,0
TXN000223,USR2064,2023-01-02,511.52,Online,Tablet,City_1,Clothing,8111.58,Debit,45,2,0,0
TXN000224,USR8222,2023-01-02,637.28,Mobile Payment,Mobile,City_13,Clothing,22301.88,Credit,224,1,0,0
TXN000225,USR1107,2023-01-02,2995.42,Mobile Payment,Desktop,City_16,Gas,254.33,Credit,67,3,0,1
TXN000226,USR7482,2023-01-02,155.65,Online,Mobile,City_12,Healthcare,64141.98,Debit,71,2,1,0
TXN000227,USR9767,2023-01-02,143.45,POS,Mobile,City_3,Gas,2372.01,Debit,133,1,0,0
TXN000228,USR2112,2023-01-02,3201.08,POS,Mobile,City_1,Healthcare,2913.67,Credit,21,2,0,1
TXN000229,USR3152,2023-01-02,777.79,POS,ATM,City_6,Clothing,30524.28,Prepaid,300,1,0,0
TXN000230,USR2773,2023-01-02,363.17,Online,Tablet,City_1,Entertainment,5089.25,Debit,36,4,0,0
TXN000231,USR5416,2023-01-02,1215.1,Online,ATM,City_17,Groceries,100.0,Credit,25,4,0,0
TXN000232,USR7846,2023-01-02,113.02,Online,ATM,City_4,Healthcare,1231.79,Credit,42,3,0,0
TXN000233,USR6982,2023-01-02,183.82,Online,ATM,City_10,Healthcare,15483.27,Credit,77,4,1,0
TXN000234,USR8909,2023-01-02,24.76,Wire Transfer,ATM,City_4,Entertainment,5725.49,Debit,21,7,1,0
TXN000235,USR2865,2023-01-02,258.81,Mobile Payment,Desktop,City_17,Entertainment,6140.88,Credit,32,2,0,0
TXN000236,USR7791,2023-01-02,328.12,Online,Mobile,City_8,Clothing,4434.24,Credit,46,3,1,0
TXN000237,USR9179,2023-01-02,666.21,POS,Mobile,City_12,Travel,5202.29,Credit,47,2,0,0
TXN000238,USR7769,2023-01-02,2023.73,Mobile Payment,Mobile,City_13,Groceries,2097.39,Credit,159,5,1,1
TXN000239,USR7719,2023-01-02,139.66,POS,Tablet,City_15,Gas,37968.05,Debit,8,6,0,1
